Orig_Label,Annotate_medium
Fibroblast|THY1+ fibroblast,Fibroblast
Fibroblast|C2orf40+ fibroblast,Fibroblast
Fibroblast|WISP2+ fibroblast,Fibroblast
Fibroblast|TCIM+NRG1+ fibroblast,Fibroblast
Fibroblast|FRZB+ fibroblast,Fibroblast
Fibroblast|G0S2+PPP1R14A+ fibroblast,Fibroblast
Fibroblast|PLA2G2A+IGFBP4+APOC1+ fibroblast,Fibroblast
Fibroblast|Adipose ITLN1 fibroblast,Fibroblast
Germ cell|Oocyte|Meiotic oocyte,Germ cell
Germ cell|Oocyte|Mitotic oocyte,Germ cell
Germ cell|Oocyte|Retinoid acid responsive oocyte,Germ cell
Germ cell|Primordial germ cell|Cycling primordial germ cell,Germ cell
Germ cell|Spermatocyte|Early spermatocyte,Germ cell
Germ cell|Spermatocyte|Late spermatocyte,Germ cell
Germ cell|Spermatocyte|Spermatid|Elongated spermatid,Germ cell
Germ cell|Spermatocyte|Spermatid|Elongating spermatid,Germ cell
Germ cell|Spermatocyte|Spermatid|Round spermatid,Germ cell
Germ cell|Spermatocyte|Spermatogonial stem cell|Cycling spermatogonial stem cell,Germ cell
Glial cell|Glial cell of brain|Astrocyte|Fibrous astrocyte,Glial cell|Astrocyte
Glial cell|Glial cell of brain|Astrocyte|Protoplasmic astrocyte,Glial cell|Astrocyte
Glial cell|Glial cell of brain|Oligodendrocyte|Oligodendrocyte progenitor cell,Glial cell|Oligodendrocyte
Glial cell|Glial cell of intestine|APOE+BCAN+ glial cell,Glial cell
Glial cell|Glial cell of intestine|CRYAB+PLAT+ glial cell,Glial cell
Glial cell|Glial cell of intestine|Cycling glial cell|G2/M phase glial cell,Glial cell
Glial cell|Glial cell of intestine|Cycling glial cell|S phase glial cell,Glial cell
Glial cell|Glial cell of intestine|Glia progenitor,Glial cell
Glial cell|Glial cell of intestine|MBP+MAL+AATK+ glial cell,Glial cell
Glial cell|Muller glia,Glial cell
Glial cell|Schwann cell,Glial cell
Immune cell|Erythrocyte/Megakaryocyte|Megakaryocyte|Platelet,Immune cell|Erythrocyte/Megakaryocyte|Megakaryocyte|Platelet
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Early SOX4+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Early SOX4+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Intermediate EPCAM+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Intermediate EPCAM+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Erythroblast|Late hemoglobin+ erythroblast|Cycling late hemoglobin+ erythroblast,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Late hemoglobin+ erythroblast
Immune cell|Erythrocyte/Megakaryocyte|Red blood cell|Fetal HBG+ erythrocyte,Immune cell|Erythrocyte/Megakaryocyte|Red blood cell
Immune cell|Lymphoid cell|B cell|B cell precursor|PreB cell|Cycling preB cell,Immune cell|Lymphoid cell|B cell|PreB cell
Immune cell|Lymphoid cell|B cell|B cell precursor|ProB cell|Cycling proB cell,Immune cell|Lymphoid cell|B cell|ProB cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Committed GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Cycling GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Dark zone GC B cell|Cycling DZ GC B cell|S phase DZ GC B cell|Histone high S phase DZ GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|DZ/LZ B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Light zone GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Non-cycling GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Germinal center B cell|Pre-GC B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|Class-switched memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|FCRL4 memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|Unswitched memory B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|MTRNR2L1 B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Naive B cell|INF-activated naive B cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Plasma cell|Plasma cell precursor,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Cycling B,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|T/NK cell|Cycling T/NK cell|Cycling T cell,Immune cell|Lymphoid cell|T/NK cell|Cycling T/NK cell
Immune cell|Lymphoid cell|T/NK cell|ILC|SLAMF1+XCL- ILC,Immune cell|Lymphoid cell|T/NK cell|ILC
Immune cell|Lymphoid cell|T/NK cell|ILC|SLAMF1-XCL+ ILC,Immune cell|Lymphoid cell|T/NK cell|ILC
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD16 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD56 NK cell|INF-activated CD56 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|CD56 NK cell|GZMK NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|Tissue-resident NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|NK cell|XCL1 NK cell,Immune cell|Lymphoid cell|T/NK cell|NK cell
Immune cell|Lymphoid cell|T/NK cell|T cell|abT (entry) cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Agonist T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Memory CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Naive CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Tfh cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|Treg cell|Differentiating Treg cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|KLRB1 cytotoxic CD4 T,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD4 T cell|GZMK cytotoxic CD4 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|CD8aa+ T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|INF-activated CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Memory CD8 T cell|CXCL13 exhausted CD8 T cell|Cycling CXCL13 exhausted CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Memory CD8 T cell|GZMB CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Memory CD8 T cell|GZMK CD8 T cell|GZMK+IL7R- CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Memory CD8 T cell|GZMK CD8 T cell|GZMK+IL7R+ CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Memory CD8 T cell|KLRB1 CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|CD8 T cell|Naive CD8 T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Cycling DN/DP T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Double negative T cell|Double negative T cell (entry),Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Double positive T cell|Cycling DP T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|INF-activated T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|MAIT cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Memory T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Lymphoid cell|T/NK cell|T cell|Naive T cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Myeloid cell|Cycling myeloid cell|G2/M phase myeloid cell,Immune cell|Myeloid cell|Cycling myeloid cell
Immune cell|Myeloid cell|Cycling myeloid cell|S phase myeloid cell,Immune cell|Myeloid cell|Cycling myeloid cell
Immune cell|Myeloid cell|Dendritic cell|Follicular DC|Dark zone follicular DC,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Dendritic cell|Follicular DC|Light zone follicular DC,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Dendritic cell|mregDC,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Granulocyte|Basophil,Immune cell|Myeloid cell|Granulocyte
Immune cell|Myeloid cell|Granulocyte|Eosinophil,Immune cell|Myeloid cell|Granulocyte
Immune cell|Myeloid cell|Granulocyte|Mast cell|Cycling mast cell,Immune cell|Myeloid cell|Granulocyte
Immune cell|Myeloid cell|Granulocyte|Neutrophil|Neutrophil precursor|S100A+ preNeutrophil|Cycling S100A+ preNeutrophil,Immune cell|Myeloid cell|Granulocyte
Immune cell|Myeloid cell|Macrophage|Cycling macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|IL1B+ macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|INF-activated macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|LYVE1 macrophage|Cycling LYVE1 macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|M1 macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|Metallothionein+ macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|MMP19 macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|SPP1 macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|Tissue resident macrophage|Alveolar macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|Tissue resident macrophage|Hofbauer cell,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|Tissue resident macrophage|Microglia,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Macrophage|DIAPH3+ macrophage,Immune cell|Myeloid cell|Macrophage
Immune cell|Myeloid cell|Monocyte|CD14 monocyte|MHCII high CD14 monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Monocyte|CD14 monocyte|MHCII low CD14 monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Monocyte|CD16 monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Monocyte|Cycling monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Monocyte|Placenta CAMP+ monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Monocyte|Placenta defensin+ monocyte,Immune cell|Myeloid cell|Monocyte
Immune cell|Myeloid cell|Osteoclast,Immune cell|Myeloid cell|Osteoclast
Immune cell|Myeloid cell|Monocyte/DC,Immune cell|Myeloid cell|Monocyte/DC
Immune cell|Cycling immune cell,Immune cell|Cycling immune cell
Muscle cell|Cardiomyocyte|Atrial cardiomyocyte,Muscle cell|Cardiomyocyte|Atrial cardiomyocyte
Muscle cell|Cardiomyocyte|Ventricular cardiomyocyte|Fetal ventricular cardiomyocyte,Muscle cell|Cardiomyocyte|Ventricular cardiomyocyte
Muscle cell|Skeletal muscle cell|Fast-twitch skeletal muscle cell,Muscle cell|Skeletal muscle cell
Muscle cell|Skeletal muscle cell|MYOM1+ skeletal muscle cell,Muscle cell|Skeletal muscle cell
Muscle cell|Skeletal muscle cell|Skeletal muscle myoblast,Muscle cell|Skeletal muscle cell
Muscle cell|Skeletal muscle cell|Slow-twitch skeletal muscle cell,Muscle cell|Skeletal muscle cell
Neuron|Neuron of brain|Excitatory neuron|Amygdala excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Thalamic excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Hippocampal excitatory neurons|Hippocampal CA1-3 neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Hippocampal excitatory neurons|Hippocampal dentate gyrus neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Hippocampal excitatory neurons|Hippocampal CA4 neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Inhibitory neuron|MGE-derived inhibitory neuron|SST inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|CGE-derived inhibitory neuron|SV2C inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|CGE-derived inhibitory neuron|VIP inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Cerebellar inhibitory neuron|PAX2 inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Cerebellar inhibitory neuron|SCGN inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Midbrain-derived inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Medium spiny neurons|D1 medium spiny neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Medium spiny neurons|D2 medium spiny neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|Medium spiny neurons|Eccentric medium spiny neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Miscellaneous neuron|Upper rhombic lip-derived neuron,Neuron|Neuron of brain|Miscellaneous neuron
Neuron|Neuron of brain|Miscellaneous neuron|Lower rhombic lip-derived neuron,Neuron|Neuron of brain|Miscellaneous neuron
Neuron|Neuron of brain|Miscellaneous neuron|Splatter neuron,Neuron|Neuron of brain|Miscellaneous neuron
Neuron|Neuron of brain|Miscellaneous neuron|Mammillary body neuron,Neuron|Neuron of brain|Miscellaneous neuron
Neuron|Neuron of intestine|BNC2+ neuron,Neuron|Neuron of intestine|BNC2+ neuron
Neuron|Neuron of intestine|ETV1+ neuron,Neuron|Neuron of intestine|ETV1+ neuron
Neuron|Neuron of intestine|Neuroblast,Neuron|Neuron of intestine|Neuroblast
Neuron|Neuron of retina|Amacrine cell,Neuron|Neuron of retina|Amacrine cell
Neuron|Neuron of retina|Bipolar cell|Cone-OFF-bipolar cell,Neuron|Neuron of retina|Bipolar cell|Cone-OFF-bipolar cell
Neuron|Neuron of retina|Bipolar cell|Cone-ON-bipolar cell,Neuron|Neuron of retina|Bipolar cell|Cone-ON-bipolar cell
Neuron|Neuron of retina|Bipolar cell|PCP4L1+ bipolar cell,Neuron|Neuron of retina|Bipolar cell|PCP4L1+ bipolar cell
Neuron|Neuron of retina|Bipolar cell|Rod-bipolar cell,Neuron|Neuron of retina|Bipolar cell|Rod-bipolar cell
Neuron|Neuron of retina|Cone cell,Neuron|Neuron of retina|Cone cell
Neuron|Neuron of retina|Ganglion cell,Neuron|Neuron of retina|Ganglion cell
Neuron|Neuron of retina|Horizontal cell,Neuron|Neuron of retina|Horizontal cell
Neuron|Neuron of retina|Rod cell,Neuron|Neuron of retina|Rod cell
Perivascular cell|Cycling perivascular cell,Perivascular cell|Cycling perivascular cell
Perivascular cell|Pericyte|ACTG2+ contractile pericyte|Cycling ACTG2+ contractile pericyte,Perivascular cell|Pericyte
Perivascular cell|Pericyte|CCL19/21 pericyte,Perivascular cell|Pericyte
Perivascular cell|Pericyte|CXCL+ pericyte,Perivascular cell|Pericyte
Perivascular cell|Pericyte|CYGB+ pericyte,Perivascular cell|Pericyte
Perivascular cell|Pericyte|SPRR2F+ pericyte,Perivascular cell|Pericyte
Perivascular cell|Pericyte|Mesangial cell,Perivascular cell|Pericyte
Perivascular cell|Vascular smooth muscle cell|ACTG2+ contractile VSMC,Perivascular cell|Vascular smooth muscle cell
Perivascular cell|Vascular smooth muscle cell|CREB+MT1A+ vascular smooth muscle cell,Perivascular cell|Vascular smooth muscle cell
Perivascular cell|Vascular smooth muscle cell|PCP4+ vascular smooth muscle cell,Perivascular cell|Vascular smooth muscle cell
Perivascular cell|Vascular smooth muscle cell|Metallothionein+ smooth muscle cell,Perivascular cell|Vascular smooth muscle cell
Immune cell|Hematopoietic precursor cell|CLP,Immune cell|Hematopoietic precursor cell|CLP
Immune cell|Hematopoietic precursor cell|HSC,Immune cell|Hematopoietic precursor cell|HSC
Immune cell|Hematopoietic precursor cell|MEP,Immune cell|Hematopoietic precursor cell|MEP
Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - distal tubules,Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - distal tubules
Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - Loop of Henle,Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - Loop of Henle
Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - proximal tubules,Epithelial cell|Epithelial cell of kidney|Renal epithelial cell - proximal tubules
Neuron|Neuron of brain|Inhibitory neuron|PVALB inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Neuron|Neuron of brain|Inhibitory neuron|CXCL14 inhibitory neuron,Neuron|Neuron of brain|Inhibitory neuron
Immune cell|Lymphoid cell|T/NK cell|T cell|gdT cell,Immune cell|Lymphoid cell|T/NK cell|T cell
Immune cell|Myeloid cell|Dendritic cell|cDC|cDC1,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Dendritic cell|cDC|cDC2,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Dendritic cell|pDC,Immune cell|Myeloid cell|Dendritic cell
Immune cell|Myeloid cell|Monocyte|CD14/CD16 monocyte,Immune cell|Myeloid cell|Monocyte
Endothelial cell|Tip EC,Endothelial cell
Immune cell|Hematopoietic precursor cell|EoBaMa Progenitor,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|GMP|Early GMP,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|GMP|Late GMP,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|LMPP,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|MkP,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|MPP|MPP-Cycling,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|MPP|MPP-MkEry,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|MPP|MPP-MyLy,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|Pre-cDC,Immune cell|Hematopoietic precursor cell
Immune cell|Hematopoietic precursor cell|Pre-pDC,Immune cell|Hematopoietic precursor cell
Immune cell|Lymphoid cell|B cell|B cell precursor|Pre-ProB cell,Immune cell|Lymphoid cell|B cell
Immune cell|Lymphoid cell|B cell|Memory B cell|Memory B cell precursor,Immune cell|Lymphoid cell|B cell
Immune cell|Myeloid cell|Dendritic cell|ASDC,Immune cell|Myeloid cell|Dendritic cell
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|L4 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|L5 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|L5/6 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|L5b excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|L6 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Deep-layer excitatory neuron|TSHZ2 L4/5 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Cortical excitatory neuron|Upper-layer excitatory neuron|L2/3 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|PLCH1 L4/5 excitatory neuron,Neuron|Neuron of brain|Excitatory neuron
Neuron|Neuron of brain|Excitatory neuron|Pyramidal neuron,Neuron|Neuron of brain|Excitatory neuron
